peta 	 palpha 	 plambda 	 pgamma 	 pmin_child_weight 	 pmax_depth 	 Value 
0.3027292 	 1.645416 	 1.153398 	 0.342574 	 1.040285 	 14 	 -0.2618244 
0.3418706 	 1.222314 	 1.177148 	 1.512503 	 1.59676 	 16 	 -0.2778606 
0.2622861 	 0.4140119 	 1.003195 	 1.0633 	 1.624733 	 8 	 -0.2805604 
0.3079133 	 0.9426588 	 1.060186 	 1.646791 	 1.573866 	 7 	 -0.2776406 
0.2997122 	 1.375692 	 1.030418 	 1.104399 	 1.583703 	 9 	 -0.2831558 
0.3309663 	 0.1663168 	 1.137448 	 1.14012 	 1.020106 	 13 	 -0.2616044 
0.2987693 	 1.977804 	 1.020173 	 1.865909 	 1.895867 	 13 	 -0.280343 
0.2794251 	 1.196825 	 0.9173432 	 1.175351 	 1.168219 	 8 	 -0.2697514 
0.2808316 	 1.81366 	 0.8960461 	 0.1616216 	 1.394134 	 12 	 -0.2778596 
0.2563804 	 0.3356696 	 0.8018191 	 0.8104589 	 1.099121 	 13 	 -0.2777864 
0.2897981 	 0.3321668 	 0.8018933 	 0.348214 	 1.705294 	 13 	 -0.2670108 
0.3075709 	 0.3947335 	 1.088183 	 1.201555 	 1.561323 	 7 	 -0.2536054 
0.3010587 	 0.6896073 	 0.8219883 	 1.257068 	 1.170234 	 16 	 -0.272343 
0.2868702 	 0.7396806 	 1.048984 	 1.990842 	 1.670974 	 19 	 -0.2750108 
0.2691756 	 1.4545 	 0.8625207 	 0.45053 	 1.711 	 7 	 -0.2778944 
0.2677252 	 1.666151 	 0.9673434 	 0.08923223 	 1.398147 	 20 	 -0.2670838 
0.2588482 	 0.9303994 	 1.081714 	 0.8617037 	 1.942649 	 14 	 -0.2834098 
0.3226393 	 0.1935493 	 0.8600061 	 1.315224 	 1.068697 	 19 	 -0.2751558 
0.3079948 	 1.691107 	 0.9763861 	 1.875683 	 1.889851 	 19 	 -0.2750108 
0.25752 	 1.2436 	 0.9447907 	 0.4821243 	 1.304591 	 14 	 -0.2725282 
0.3097094 	 0.8850193 	 1.167272 	 1.448949 	 1.49806 	 15 	 -0.2777864 
0.2766797 	 1.175714 	 1.101547 	 1.74773 	 1.357444 	 19 	 -0.2749746 
0.3057221 	 1.517138 	 1.150799 	 0.2058979 	 1.977375 	 16 	 -0.2805992 
0.3424318 	 0.5378748 	 1.119883 	 0.9385301 	 1.416702 	 8 	 -0.264272 
0.2956971 	 0.6091976 	 1.045589 	 1.410404 	 1.19681 	 17 	 -0.275047 
0.2977706 	 1.912501 	 0.9945189 	 1.535223 	 1.153456 	 7 	 -0.2668286 
0.3294452 	 1.300937 	 0.9312081 	 1.842449 	 1.944075 	 7 	 -0.2777864 
0.2792176 	 1.969102 	 1.011191 	 1.152801 	 1.803142 	 20 	 -0.2696044 
0.3498659 	 0.9006486 	 1.029148 	 1.785823 	 1.562878 	 9 	 -0.2751216 
0.3035379 	 1.291255 	 0.9112996 	 0.1105048 	 1.730085 	 16 	 -0.2776774 
0.2952537 	 1.126834 	 0.8717041 	 1.519571 	 1.10639 	 12 	 -0.2830466 
0.329656 	 1.225593 	 1.104641 	 0.8929893 	 0.982575 	 15 	 -0.2887072 
0.2972166 	 1.058632 	 0.9949833 	 0.8051002 	 1.837802 	 8 	 -0.2886704 
0.327572 	 1.803214 	 1.126035 	 1.954658 	 1.72981 	 14 	 -0.2777134 
0.308107 	 1.05801 	 1.114455 	 1.756266 	 0.9118681 	 7 	 -0.272417 
0.323288 	 1.398858 	 1.140064 	 0.2361639 	 1.829263 	 7 	 -0.272453 
0.305515 	 1.656267 	 0.9608505 	 0.6724883 	 1.264183 	 14 	 -0.2725262 
0.3271279 	 1.136055 	 0.8749079 	 1.795685 	 1.501697 	 7 	 -0.2777504 
0.2546681 	 1.147104 	 0.8981407 	 1.783332 	 1.483339 	 10 	 -0.2695312 
0.2551294 	 1.911955 	 1.088421 	 1.428171 	 1.066992 	 7 	 -0.2750108 
0.2576342 	 1.182659 	 0.9267412 	 1.263709 	 1.187837 	 17 	 -0.272453 
0.2543581 	 1.318611 	 0.8960705 	 0.133923 	 1.911643 	 19 	 -0.2697144 
0.2777664 	 0.2890426 	 0.816395 	 1.135886 	 1.858449 	 16 	 -0.280563 
0.3029494 	 0.8265439 	 0.8592771 	 1.080043 	 1.600803 	 11 	 -0.2697144 
0.2717545 	 1.416103 	 1.188904 	 1.158411 	 1.25321 	 10 	 -0.283193 
0.339596 	 1.179392 	 0.8133201 	 1.660019 	 1.94827 	 9 	 -0.280526 
0.283387 	 0.9089294 	 0.8923931 	 1.652474 	 1.180642 	 15 	 -0.2831196 
0.3038 	 1.062204 	 0.8217933 	 1.161117 	 1.285226 	 19 	 -0.280417 
0.3001352 	 0.1614363 	 1.104142 	 1.759335 	 1.582132 	 7 	 -0.2669746 
0.289811 	 1.270686 	 0.8324825 	 0.8115743 	 1.124788 	 11 	 -0.2697136 
