fecha	entrada	algoritmo	obs	subsamble	colsample_bytree	eta	alpha	lambda	gamma	min_child_weight	max_depth	iteracion	tiempo	merror	
20171230 144523	../train.csv	xgboost_merror	todas	1	1	0.3027292	1.645416	1.153398	0.342574	1.040285	14	21	0.4698129	-0.2618244	
20171230 144524	../train.csv	xgboost_merror	todas	1	1	0.3418706	1.222314	1.177148	1.512503	1.59676	16	3	0.502202	-0.2778606	
20171230 144525	../train.csv	xgboost_merror	todas	1	1	0.2622861	0.4140119	1.003195	1.0633	1.624733	8	11	0.4818559	-0.2805604	
20171230 144525	../train.csv	xgboost_merror	todas	1	1	0.3079133	0.9426588	1.060186	1.646791	1.573866	7	6	0.4643168	-0.2776406	
20171230 144526	../train.csv	xgboost_merror	todas	1	1	0.2997122	1.375692	1.030418	1.104399	1.583703	9	5	0.4755149	-0.2831558	
20171230 144527	../train.csv	xgboost_merror	todas	1	1	0.3309663	0.1663168	1.137448	1.14012	1.020106	13	3	0.5551739	-0.2616044	
20171230 144527	../train.csv	xgboost_merror	todas	1	1	0.2987693	1.977804	1.020173	1.865909	1.895867	13	4	0.43822	-0.280343	
20171230 144528	../train.csv	xgboost_merror	todas	1	1	0.2794251	1.196825	0.9173432	1.175351	1.168219	8	4	0.4896431	-0.2697514	
20171230 144529	../train.csv	xgboost_merror	todas	1	1	0.2808316	1.81366	0.8960461	0.1616216	1.394134	12	34	0.3900959	-0.2778596	
20171230 144529	../train.csv	xgboost_merror	todas	1	1	0.2563804	0.3356696	0.8018191	0.8104589	1.099121	13	16	0.5558879	-0.2777864	
20171230 144530	../train.csv	xgboost_merror	todas	1	1	0.2897981	0.3321668	0.8018933	0.348214	1.705294	13	11	0.452095	-0.2670108	
20171230 144531	../train.csv	xgboost_merror	todas	1	1	0.3075709	0.3947335	1.088183	1.201555	1.561323	7	6	0.4441941	-0.2536054	
20171230 144531	../train.csv	xgboost_merror	todas	1	1	0.3010587	0.6896073	0.8219883	1.257068	1.170234	16	5	0.5638521	-0.272343	
20171230 144532	../train.csv	xgboost_merror	todas	1	1	0.2868702	0.7396806	1.048984	1.990842	1.670974	19	5	0.519249	-0.2750108	
20171230 144533	../train.csv	xgboost_merror	todas	1	1	0.2691756	1.4545	0.8625207	0.45053	1.711	7	9	0.4437401	-0.2778944	
20171230 144533	../train.csv	xgboost_merror	todas	1	1	0.2677252	1.666151	0.9673434	0.08923223	1.398147	20	21	0.373271	-0.2670838	
20171230 144534	../train.csv	xgboost_merror	todas	1	1	0.2588482	0.9303994	1.081714	0.8617037	1.942649	14	17	0.471276	-0.2834098	
20171230 144535	../train.csv	xgboost_merror	todas	1	1	0.3226393	0.1935493	0.8600061	1.315224	1.068697	19	3	0.577075	-0.2751558	
20171230 144535	../train.csv	xgboost_merror	todas	1	1	0.3079948	1.691107	0.9763861	1.875683	1.889851	19	4	0.470726	-0.2750108	
20171230 144536	../train.csv	xgboost_merror	todas	1	1	0.25752	1.2436	0.9447907	0.4821243	1.304591	14	4	0.4833989	-0.2725282	
20171230 144536	../train.csv	xgboost_merror	todas	1	1	0.3097094	0.8850193	1.167272	1.448949	1.49806	15	3	0.5129251	-0.2777864	
20171230 144537	../train.csv	xgboost_merror	todas	1	1	0.2766797	1.175714	1.101547	1.74773	1.357444	19	4	0.5324171	-0.2749746	
20171230 144538	../train.csv	xgboost_merror	todas	1	1	0.3057221	1.517138	1.150799	0.2058979	1.977375	16	17	0.4036009	-0.2805992	
20171230 144538	../train.csv	xgboost_merror	todas	1	1	0.3424318	0.5378748	1.119883	0.9385301	1.416702	8	5	0.480257	-0.264272	
20171230 144539	../train.csv	xgboost_merror	todas	1	1	0.2956971	0.6091976	1.045589	1.410404	1.19681	17	9	0.526804	-0.275047	
20171230 144540	../train.csv	xgboost_merror	todas	1	1	0.2977706	1.912501	0.9945189	1.535223	1.153456	7	4	0.4712169	-0.2668286	
20171230 144540	../train.csv	xgboost_merror	todas	1	1	0.3294452	1.300937	0.9312081	1.842449	1.944075	7	4	0.4514549	-0.2777864	
20171230 144541	../train.csv	xgboost_merror	todas	1	1	0.2792176	1.969102	1.011191	1.152801	1.803142	20	4	0.4918799	-0.2696044	
20171230 144542	../train.csv	xgboost_merror	todas	1	1	0.3498659	0.9006486	1.029148	1.785823	1.562878	9	2	0.4881959	-0.2751216	
20171230 144542	../train.csv	xgboost_merror	todas	1	1	0.3035379	1.291255	0.9112996	0.1105048	1.730085	16	22	0.4109859	-0.2776774	
20171230 144543	../train.csv	xgboost_merror	todas	1	1	0.2952537	1.126834	0.8717041	1.519571	1.10639	12	13	0.5707321	-0.2830466	
20171230 144544	../train.csv	xgboost_merror	todas	1	1	0.329656	1.225593	1.104641	0.8929893	0.982575	15	6	0.585614	-0.2887072	
20171230 144544	../train.csv	xgboost_merror	todas	1	1	0.2972166	1.058632	0.9949833	0.8051002	1.837802	8	15	0.4633851	-0.2886704	
20171230 144545	../train.csv	xgboost_merror	todas	1	1	0.327572	1.803214	1.126035	1.954658	1.72981	14	11	0.4800501	-0.2777134	
20171230 144546	../train.csv	xgboost_merror	todas	1	1	0.308107	1.05801	1.114455	1.756266	0.9118681	7	4	0.4636428	-0.272417	
20171230 144546	../train.csv	xgboost_merror	todas	1	1	0.323288	1.398858	1.140064	0.2361639	1.829263	7	4	0.4054918	-0.272453	
20171230 144547	../train.csv	xgboost_merror	todas	1	1	0.305515	1.656267	0.9608505	0.6724883	1.264183	14	19	0.50069	-0.2725262	
20171230 144548	../train.csv	xgboost_merror	todas	1	1	0.3271279	1.136055	0.8749079	1.795685	1.501697	7	7	0.4674551	-0.2777504	
20171230 144548	../train.csv	xgboost_merror	todas	1	1	0.2546681	1.147104	0.8981407	1.783332	1.483339	10	9	0.5278199	-0.2695312	
20171230 144549	../train.csv	xgboost_merror	todas	1	1	0.2551294	1.911955	1.088421	1.428171	1.066992	7	5	0.4530771	-0.2750108	
20171230 144550	../train.csv	xgboost_merror	todas	1	1	0.2576342	1.182659	0.9267412	1.263709	1.187837	17	5	0.532352	-0.272453	
20171230 144550	../train.csv	xgboost_merror	todas	1	1	0.2543581	1.318611	0.8960705	0.133923	1.911643	19	20	0.3904071	-0.2697144	
20171230 144551	../train.csv	xgboost_merror	todas	1	1	0.2777664	0.2890426	0.816395	1.135886	1.858449	16	2	0.5384722	-0.280563	
20171230 144551	../train.csv	xgboost_merror	todas	1	1	0.3029494	0.8265439	0.8592771	1.080043	1.600803	11	5	0.508714	-0.2697144	
20171230 144552	../train.csv	xgboost_merror	todas	1	1	0.2717545	1.416103	1.188904	1.158411	1.25321	10	5	0.5099669	-0.283193	
20171230 144553	../train.csv	xgboost_merror	todas	1	1	0.339596	1.179392	0.8133201	1.660019	1.94827	9	6	0.482975	-0.280526	
20171230 144554	../train.csv	xgboost_merror	todas	1	1	0.283387	0.9089294	0.8923931	1.652474	1.180642	15	3	0.5695632	-0.2831196	
