fecha	entrada	algoritmo	obs	subsamble	colsample_bytree	eta	alpha	lambda	gamma	min_child_weight	max_depth	iteracion	tiempo	merror	
20171230 144306	../train.csv	xgboost_merror	todas	1	1	0.3163638	0.09736512	0.8691297	1.615941	1.956457	10	4	0.6350219	-0.2694582	
20171230 144306	../train.csv	xgboost_merror	todas	1	1	0.3147734	1.120216	0.9576415	1.742611	1.255802	19	1	0.649323	-0.280417	
20171230 144307	../train.csv	xgboost_merror	todas	1	1	0.3104128	0.1475327	1.028206	1.536959	1.748424	17	2	0.6417191	-0.2721618	
20171230 144308	../train.csv	xgboost_merror	todas	1	1	0.2955421	1.526396	1.025892	0.2894091	1.838986	7	5	0.551523	-0.269349	
20171230 144309	../train.csv	xgboost_merror	todas	1	1	0.3435085	0.7731436	0.8145651	1.538286	1.671184	14	11	0.5921111	-0.2668656	
20171230 144310	../train.csv	xgboost_merror	todas	1	1	0.3237675	1.236625	0.8245873	1.658792	1.925103	13	9	0.6368961	-0.2800146	
20171230 144310	../train.csv	xgboost_merror	todas	1	1	0.2751279	0.4959646	0.968537	0.4979854	1.49507	12	5	0.571033	-0.2616044	
20171230 144311	../train.csv	xgboost_merror	todas	1	1	0.3105908	1.894743	1.003061	1.510908	1.88054	16	2	0.5749159	-0.2696042	
20171230 144312	../train.csv	xgboost_merror	todas	1	1	0.2808186	1.440839	1.133115	1.917444	1.640643	6	11	0.5209939	-0.2746814	
20171230 144312	../train.csv	xgboost_merror	todas	1	1	0.2618947	0.8127243	0.847338	0.2858291	1.990041	17	4	0.523037	-0.264125	
20171230 144313	../train.csv	xgboost_merror	todas	1	1	0.2726385	0.5429212	1.071844	0.8990523	0.9511019	18	5	0.687993	-0.2614952	
