fecha	entrada	algoritmo	obs	subsamble	colsample_bytree	eta	alpha	lambda	gamma	min_child_weight	max_depth	iteracion	tiempo	merror	
20171227 213055	train.csv	xgboost_merror	todas	1	1	0.3262767	1.388992	1.169183	0.695444	1.010299	17	11	0.8550773	-0.2776764	
20171227 213056	train.csv	xgboost_merror	todas	1	1	0.2782553	0.5304942	1.185417	1.63222	0.9180407	8	4	1.110314	-0.2611308	
20171227 213058	train.csv	xgboost_merror	todas	1	1	0.337696	1.223209	0.8272409	1.219005	1.03743	17	3	1.142354	-0.2693852	
20171227 213058	train.csv	xgboost_merror	todas	1	1	0.2578309	1.597656	0.872865	1.098159	1.314452	9	14	0.7534893	-0.2775674	
20171227 213059	train.csv	xgboost_merror	todas	1	1	0.3480888	1.565812	0.9635961	0.6915854	1.387043	12	3	0.7477829	-0.2777514	
20171227 213100	train.csv	xgboost_merror	todas	1	1	0.2758866	1.690021	1.14074	0.8077886	1.463997	8	12	0.7910337	-0.2639786	
20171227 213101	train.csv	xgboost_merror	todas	1	1	0.258093	0.005970942	0.923126	1.97907	1.400811	14	5	0.8056164	-0.277495	
20171227 213102	train.csv	xgboost_merror	todas	1	1	0.3485695	0.03132205	0.9160411	1.624188	1.975424	13	3	0.8694005	-0.277493	
20171227 213103	train.csv	xgboost_merror	todas	1	1	0.2950447	0.1471237	1.124458	1.703771	1.332506	17	10	0.9615095	-0.2749004	
20171227 213104	train.csv	xgboost_merror	todas	1	1	0.3029694	1.712966	1.159878	1.067855	1.002331	19	3	0.7999322	-0.280271	
20171227 213107	train.csv	xgboost_merror	todas	1	1	0.3388231	1.675553	1.070219	1.427193	1.614698	16	2	3.164558	-0.2829366	
20171227 213108	train.csv	xgboost_merror	todas	1	1	0.2741584	0.7002799	0.8551848	1.98133	1.40433	13	3	0.8237948	-0.2800888	
20171227 213109	train.csv	xgboost_merror	todas	1	1	0.3350269	1.463024	0.8868207	0.01266748	1.974158	17	10	0.4260817	-0.2774944	
20171227 213110	train.csv	xgboost_merror	todas	1	1	0.2759101	0.04114934	1.010513	1.06538	1.305126	15	3	0.8720713	-0.2776764	
20171227 213111	train.csv	xgboost_merror	todas	1	1	0.3470327	1.311098	0.8463967	1.952786	1.162291	6	2	0.9344501	-0.2721978	
20171227 213112	train.csv	xgboost_merror	todas	1	1	0.3298466	0.5659137	1.025154	0.07750885	1.144199	12	4	0.8741815	-0.2696776	
20171227 213113	train.csv	xgboost_merror	todas	1	1	0.2722541	0.04706418	0.8690468	1.63922	1.816575	13	17	0.7797587	-0.28027	
20171227 213114	train.csv	xgboost_merror	todas	1	1	0.2770404	1.571268	1.003123	1.545181	1.724789	8	14	0.7674291	-0.2772392	
20171227 213114	train.csv	xgboost_merror	todas	1	1	0.2874556	0.283371	1.171569	0.8208039	1.882049	15	4	0.768476	-0.2749378	
20171227 213115	train.csv	xgboost_merror	todas	1	1	0.2648687	1.745938	0.9664058	1.908796	0.9883088	13	9	0.8050604	-0.2772752	
20171227 213116	train.csv	xgboost_merror	todas	1	1	0.3185728	1.856048	1.040334	1.742547	1.98459	15	12	0.9712763	-0.2855292	
20171227 213117	train.csv	xgboost_merror	todas	1	1	0.3409217	1.866441	0.8633713	1.574158	0.9127649	20	13	0.7805541	-0.2910818	
20171227 213118	train.csv	xgboost_merror	todas	1	1	0.2535088	0.1244148	1.188592	0.2724033	1.325147	8	4	0.9681973	-0.2669376	
20171227 213119	train.csv	xgboost_merror	todas	1	1	0.2640358	0.1049154	0.9721116	1.909276	0.9397507	7	13	0.8383932	-0.2694592	
20171227 213120	train.csv	xgboost_merror	todas	1	1	0.2731967	1.877252	0.891204	0.09879037	1.157339	13	6	0.851603	-0.280197	
20171227 213121	train.csv	xgboost_merror	todas	1	1	0.3467289	1.676417	0.9430799	0.4150183	1.374323	7	5	0.7708251	-0.272197	
20171227 213122	train.csv	xgboost_merror	todas	1	1	0.2839432	1.271379	0.8845175	1.251738	1.077462	8	2	0.7665792	-0.2694952	
20171227 213123	train.csv	xgboost_merror	todas	1	1	0.2904556	0.6179685	0.9985124	1.776968	1.558809	18	9	0.9543843	-0.2666094	
20171227 213124	train.csv	xgboost_merror	todas	1	1	0.3263891	1.716073	0.9036384	1.872131	1.419195	10	13	0.7710958	-0.2910086	
